"gene","log2FoldChange","padj","significant"
"CPS1",-2.93145935311302,5.8489048394288e-06,TRUE
"CHGB",2.98633982482718,6.67176340932218e-06,TRUE
"TCAP",-1.80921649376225,1.36915183092802e-05,TRUE
"MALAT1",-1.88702865161919,0.000356692791015464,TRUE
"RP5-857K21.7",-1.41092185918553,0.000396198822284593,TRUE
"DHRS2",1.82204270398604,0.00101613918252431,TRUE
"EEF1A2",1.85042724591875,0.00101613918252431,TRUE
"IL20RB",1.17213145046274,0.00114285048663759,TRUE
"NEAT1",-1.18648331576355,0.00149656430673806,TRUE
"RP11-463O12.5",-1.2308859943279,0.00167086069294317,TRUE
"UPK3B",1.31836722169812,0.00265204469931421,TRUE
"RARA-AS1",0.861442845551197,0.00299507356937959,TRUE
"RP1-309I22.2",-1.67705100450397,0.00433957977052676,TRUE
"MT-ND6",-1.06957301041039,0.00443520928535933,TRUE
"WIPF3",1.31741169931446,0.00443520928535933,TRUE
"C8G",1.20960449513963,0.00443520928535933,TRUE
"SUZ12P1",0.897495400755863,0.00456631422053088,TRUE
"TGM1",-1.03866070381584,0.00668739956190607,TRUE
"RP5-857K21.11",1.33611838087276,0.00687189122736455,TRUE
"SYCE2",0.717405295097783,0.0071893566040564,TRUE
"GRB7",0.846826325661289,0.0112015453712629,TRUE
"AC012360.6",-1.14340310898247,0.0124942789633793,TRUE
"GPR82",-1.1586469426888,0.0124942789633793,TRUE
"CTB-152G17.6",-1.09254375507602,0.0161042585437012,TRUE
"RP11-752L20.3",-1.12473101278401,0.0161042585437012,TRUE
"FNDC5",0.971284987448659,0.0163824922329703,TRUE
"FZD10",-1.62583581323105,0.0163824922329703,TRUE
"chr22-38_28785274-29006793.1",-1.15993673473672,0.0174996462176284,TRUE
"VGF",1.38692944192658,0.0190887793711795,TRUE
"RP11-29G8.3",-0.714444769872893,0.0192876373477521,TRUE
"RP3-394A18.1",-1.01377587190898,0.0192876373477521,TRUE
"Y_RNA",-0.911545656681235,0.0232864028295885,TRUE
"PLAC4",-1.54708165790479,0.0232864028295885,TRUE
"CD27-AS1",0.348102041390783,0.0232864028295885,TRUE
"KCNQ1OT1",-1.29182023629664,0.0280642925115817,TRUE
"CTB-58E17.5",0.558718235388729,0.0374965625642563,TRUE
"REG3A",-2.25574643866655,0.037694956682226,TRUE
"RP11-329L6.2",-1.49885114779909,0.037694956682226,TRUE
"TTN",-1.17955581903004,0.037694956682226,TRUE
"MTND1P23",-2.30675334736895,0.040184075715673,TRUE
"WFDC21P",-0.977307177827237,0.040184075715673,TRUE
"FAM132B",0.907296566140808,0.0464563206456029,TRUE
"TIGD1",0.454633317255855,0.0464563206456029,TRUE
"RP11-342K2.1",-0.837951665992736,0.046543996081878,TRUE
"CTD-2537I9.12",-0.944690953436621,0.0465787215266934,TRUE
"ZBTB20",-1.12747616854062,0.058041150347708,FALSE
"PEG10",1.33489272287538,0.0586189773239909,FALSE
"AC058791.1",-0.92177507115089,0.0592211734719284,FALSE
"TFF1",-1.27274672976665,0.0596454396366483,FALSE
"MT-ND5",-0.726654582902332,0.0596454396366483,FALSE
"AC000123.2",-0.674767620186404,0.0622299403064097,FALSE
"MT-RNR1",-0.731281405940966,0.0647828257986848,FALSE
"APLP1",0.847263499223518,0.068328567023209,FALSE
"SLC38A11",1.20865695491491,0.0692673465153523,FALSE
"uc_338",-0.81252852907935,0.0720448955245299,FALSE
"S100A8",-1.10177640490122,0.0739943173118468,FALSE
"CTB-176F20.3",-0.851143229598536,0.0748970613284204,FALSE
"CLDN14",0.96031403609434,0.0803590727661227,FALSE
"AC113189.5",0.481050118148572,0.0834489640461145,FALSE
"C2CD4B",-0.963526888146851,0.0837732738763389,FALSE
"CTD-3099C6.9",-0.997513413206945,0.0878381258357655,FALSE
"FTX",-1.03353222330168,0.0890493717039875,FALSE
"DPY19L2P2",-0.91988155747589,0.090195012088474,FALSE
"GRIN2C",0.87418010739092,0.0930685682223814,FALSE
"NPIPB11",0.644880200880823,0.0959706745447957,FALSE
"MAK",-0.968303864117766,0.0999093458597701,FALSE
"FAM177B",-1.12438354081285,0.0999093458597701,FALSE
"KLHL35",0.852736313395533,0.0999093458597701,FALSE
"CTB-119C2.1",-0.751762757547921,0.100144218782712,FALSE
"RP11-266L9.4",0.457916328116476,0.100144218782712,FALSE
"ADRBK2",-0.440905069486988,0.100511095501774,FALSE
"TRPM5",0.829033541816449,0.10120705169844,FALSE
"SLC30A2",-1.19264415559785,0.119038227412453,FALSE
"AC002310.12",0.429334374722107,0.129493724483299,FALSE
"RP11-138A9.2",-1.20604872859976,0.129493724483299,FALSE
"HNRNPA1P16",0.366232203424144,0.130451803682666,FALSE
"ANKRD24",0.606647010088291,0.132183108006349,FALSE
"DOC2A",0.883859008618002,0.13458307172335,FALSE
"IRAK3",-0.692346886327125,0.13458307172335,FALSE
"AQP3",-0.908135781284117,0.13458307172335,FALSE
"IFITM10",0.520664377183525,0.13458307172335,FALSE
"TSSC2",0.734646485277031,0.13458307172335,FALSE
"RP11-415J8.3",-0.659517375390095,0.135916292074436,FALSE
"AL133243.2",-0.708571817312102,0.139599252206582,FALSE
"PLBD2",-0.477987440359773,0.139599252206582,FALSE
"RP11-467L13.7",0.408935040282949,0.139599252206582,FALSE
"HELLPAR",-0.919383768108226,0.141732100545927,FALSE
"KRT8P12",0.288354505457694,0.144398477836193,FALSE
"UGT2B7",-0.939953925509157,0.144986870280729,FALSE
"RASGRF1",-0.933446845592638,0.144986870280729,FALSE
